temperature,humidity,co2,ec,ph,voltage,battery_level,dew_point,vpd,timestamp,anomaly_type,is_anomaly
18.28,73.84,704.0,1.46,6.73,3.24,60.0,13.53,0.55,2025-07-05T22:50:28.723989,normal,0
29.69,87.66,827.0,0.91,7.35,3.43,84.0,27.42,0.514,2025-08-03T19:40:28.723989,normal,0
23.59,63.58,704.0,1.77,6.33,3.38,92.0,16.28,1.06,2025-07-09T04:40:28.723989,normal,0
32.27,68.15,1303.0,1.41,7.25,3.35,71.0,25.65,1.538,2025-07-31T08:50:28.723989,normal,0
29.02,29.16,960.0,1.08,7.12,3.3,74.0,9.27,2.841,2025-08-29T06:36:29.578354,normal,0
33.39,81.03,1256.0,1.6,7.27,1.99103610488603,0.08055864105496724,29.69,0.975,2025-09-21T10:36:29.841284,battery_depleted,1
24.18,81.8,984.0,2.08,6.71,2.97,29.0,20.87,0.549,2025-09-10T22:54:29.699328,normal,0
27.09,36.82,712.0,1.84,5.88,3.3,86.0,11.08,2.265,2025-07-11T18:00:28.723989,normal,0
28.7,54.89,956.0,1.83,7.02,3.17,88.0,18.74,1.776,2025-07-27T20:20:28.723989,normal,0
22.08,44.63,716.0,1.34,5.69,3.18,52.0,9.47,1.471,2025-07-04T19:30:28.723989,normal,0
32.18,75.45,1314.0,1.69,5.6,4.220264621901776,95.36115769460852,27.29,1.179,2025-09-04T11:19:30.096418,power_surge,1
9.45905655027616,97.5927770188842,708.0,1.62,7.34,2.94,69.0,9.1,0.029,2025-08-31T19:17:30.061186,environmental_stress,1
28.82,50.21,751.0,1.65,6.51,2.93,22.0,17.43,1.974,2025-09-21T03:31:29.618674,normal,0
10.651276314668277,98.98897163236265,434.0,1.47,5.71,3.21,51.0,10.5,0.013,2025-09-14T13:45:29.832161,environmental_stress,1
20.53,93.26,606.0,1.73,6.23,3.07,78.0,19.4,0.163,2025-08-08T02:40:28.723989,normal,0
26.28,81.26,562.0,1.61,6.76,3.27,61.0,22.81,0.64,2025-08-04T02:00:28.723989,normal,0
18.43,64.76,641.0,1.44,5.51,3.61,93.0,11.67,0.747,2025-07-27T02:20:28.723989,normal,0
18.01,81.88,793.0,1.91,7.48,2.1478087327303768,0.4078620895780487,14.87,0.374,2025-09-08T23:16:29.943114,battery_depleted,1
18.35,94.92,975.0,1.32,5.94,3.35,88.0,17.52,0.107,2025-06-16T23:00:28.723989,normal,0
16.575423512952636,44.44,611.0,1.39,5.49,1.896,90.0,4.41,1.048,2025-08-31T17:49:30.110626,sudden_drop,1
25.44,95.0,575.0,1.48,6.33,3.48,59.0,24.58,0.163,2025-08-06T14:30:28.723989,normal,0
28.03,66.03,713.0,2.26,6.39,3.21,84.0,21.09,1.286,2025-06-29T01:40:28.723989,normal,0
19.61,48.35,732.0,1.72,5.85,4.71927920590791,97.88591040077345,8.41,1.179,2025-09-12T10:34:29.784388,power_surge,1
28.51,61.47,746.0,1.92,6.29,4.4728218148571735,99.06769865586116,20.38,1.5,2025-09-02T17:11:30.014284,power_surge,1
19.64,65.36,691.0,2.01,6.53,3.34,91.0,12.96,0.792,2025-07-18T20:10:28.723989,normal,0
15.84,83.12,967.0,1.65,6.63,3.23,75.0,12.98,0.304,2025-07-21T04:10:28.723989,normal,0
25.03,95.0,818.0,1.87,7.0,2.1848439219234863,5.35836394770937,24.17,0.159,2025-09-02T02:17:30.124847,battery_depleted,1
30.6,84.92,755.0,1.91,7.68,3.3,78.0,27.77,0.662,2025-08-09T16:30:28.723989,normal,0
30.7,46.98,691.0,1.31,5.98,3.24,87.0,18.09,2.342,2025-07-31T09:40:28.723989,normal,0
24.6,89.07,489.0,0.99,6.31,3.02,69.0,22.68,0.338,2025-08-30T17:41:29.501326,normal,0
32.61,72.12,1413.0,1.43,5.93,3.52,82.0,26.93,1.372,2025-08-03T01:30:28.723989,normal,0
31.91,60.27,747.0,1.62,7.23,3.32,88.0,23.26,1.879,2025-07-31T07:20:28.723989,normal,0
18.27,73.82,810.0,1.46,7.41,3.38,77.0,13.52,0.55,2025-07-20T21:00:28.723989,normal,0
20.84,43.06,673.0,1.89,7.71,3.33,62.0,7.82,1.402,2025-08-08T01:40:28.723989,normal,0
24.72,62.64,666.0,1.26,6.5,4.717636361908529,95.08917118272095,17.11,1.164,2025-09-02T04:41:30.099378,power_surge,1
10.60175551308059,76.17,858.0,1.21,5.66,1.908,71.0,6.58,0.305,2025-09-09T01:55:29.870595,sudden_drop,1
39.185373368815625,62.98,638.0,1.56,7.26,4.03,100.0,30.84,2.614,2025-08-27T08:05:30.015308,sudden_spike,1
24.62,90.14,797.0,1.91,5.74,3.41,70.0,22.9,0.305,2025-07-24T03:40:28.723989,normal,0
19.68,72.14,660.0,1.12,6.97,3.3,92.0,14.52,0.639,2025-07-14T01:10:28.723989,normal,0
25.6,42.73,792.0,1.57,6.61,3.35,75.0,12.0,1.88,2025-07-23T03:50:28.723989,normal,0
23.01,93.73,846.0,1.59,6.74,3.3,58.0,21.94,0.176,2025-08-04T23:20:28.723989,normal,0
27.92,95.0,630.0,1.45,6.45,3.57,55.0,27.04,0.188,2025-07-10T08:40:28.723989,normal,0
34.33,32.09,738.0,1.56,7.36,3.38,65.0,15.32,3.679,2025-08-26T16:03:29.619670,normal,0
23.18,69.64,725.0,1.96,6.89,3.19,63.0,17.33,0.862,2025-08-03T21:10:28.723989,normal,0
28.42,69.63,802.0,2.31,7.05,3.29,97.0,22.33,1.176,2025-06-29T10:30:28.723989,normal,0
25.69,51.67,683.0,1.91,6.6,3.35,78.0,15.0,1.595,2025-07-27T20:40:28.723989,normal,0
26.27,49.43,690.0,2.68,5.22,3.26,71.0,14.85,1.727,2025-09-01T19:14:29.492681,normal,0
26.11,95.0,956.0,1.89,7.1,3.48,91.0,25.25,0.169,2025-06-22T01:00:28.723989,normal,0
21.78,90.53,823.0,1.86,6.87,3.44,53.0,20.16,0.247,2025-08-25T18:13:29.642040,normal,0
32.85,62.58,1180.0,1.38,6.4,3.62,69.0,24.77,1.867,2025-06-24T03:10:28.723989,normal,0
24.418792998606683,98.99804392955782,558.0,1.51,6.73,3.08,56.0,24.25,0.031,2025-08-30T17:19:29.778842,dew_point_close,1
30.48,28.37,551.0,1.14,6.45,3.39,87.0,10.12,3.124,2025-09-21T11:32:29.584227,normal,0
45.23226551787873,83.53512160936965,300.0,1.6,7.11,2.6442289648350905,58.0,41.78,1.597,2025-09-11T11:38:29.949866,high_fluctuation,1
25.12,51.82,1064.0,1.52,7.62,4.966261653896835,98.26789780447677,14.52,1.537,2025-09-13T03:59:29.765236,power_surge,1
24.33,88.57,552.0,1.69,6.51,3.17,66.0,22.32,0.348,2025-09-16T23:48:29.612971,normal,0
16.76,87.73,479.0,1.14,5.58,3.24,91.0,14.71,0.234,2025-06-17T01:20:28.723989,normal,0
33.22,62.79,784.0,2.68,5.34,3.14,75.0,25.17,1.895,2025-09-17T11:54:29.584602,normal,0
38.20570142855053,71.0,861.0,2.4869844392820633,9.297164729992005,3.66,72.0,32.02,1.943,2025-09-06T09:39:30.008379,gradual_drift,1
25.490146309306056,98.42269836239667,1226.0,1.48,6.81,3.31,66.0,25.22,0.051,2025-09-15T11:14:29.766689,dew_point_close,1
46.642165023389815,62.62,886.0,2.8540900614719122,10.092648341549143,3.36,83.0,37.75,3.896,2025-09-04T12:32:29.892654,gradual_drift,1
20.25,78.62,573.398531782633,1.7916273154827187,7.652004087882823,3.26,84.0,16.41,0.508,2025-09-05T23:02:30.002891,calibration_drift,1
18.75,79.5,541.0,1.41,6.32,3.43,52.0,15.13,0.443,2025-07-29T19:00:28.723989,normal,0
31.16,58.16,1113.0,1.55,7.22,3.25,100.0,21.97,1.897,2025-06-16T02:50:28.723989,normal,0
27.84,40.4,1008.0,1.39,6.43,3.31,68.0,13.16,2.232,2025-06-20T03:30:28.723989,normal,0
25.58,65.37,557.0,2.46,5.32,3.33,93.0,18.61,1.135,2025-09-18T07:58:29.622839,normal,0
27.64,70.49,938.0041865360921,3.937491057333284,8.285380640323982,3.3,57.0,21.79,1.092,2025-08-31T21:25:29.840312,calibration_drift,1
34.72,81.59,999.0,1.56,7.55,3.59,63.0,31.1,1.019,2025-08-03T13:30:28.723989,normal,0
33.98,30.83,687.0,1.58,6.72,3.39,75.0,14.39,3.675,2025-09-05T16:36:29.492892,normal,0
6.713966771776226,60.69,837.0,1.92,7.53,2.07,86.0,-0.35,0.386,2025-08-26T03:21:29.873374,sudden_drop,1
17.23,66.34,519.0,1.14,6.41,3.35,97.0,10.9,0.662,2025-07-07T03:00:28.723989,normal,0
21.4,76.68,953.0,1.52,6.44,3.29,68.0,17.14,0.594,2025-07-29T19:40:28.723989,normal,0
20.3,75.16,918.0,1.48,6.15,3.47,81.0,15.76,0.592,2025-06-18T04:40:28.723989,normal,0
